"timestamp","price","ma5","ma10","macd","signalLine","rsi"
2023-08-16 21:00:57.244,28558.5868648144,28973.790140409,29106.2891322106,-130.423520600682,-67.2739606312366,23.1448369643096
2023-08-17 01:00:27.813,28648.977466531,28871.0242246094,29031.8876110466,-155.239017288124,-84.8669719626141,28.425060042817
2023-08-17 05:00:40.921,28506.606061976,28750.9173346313,28951.6517170075,-184.269515428958,-104.747480655883,25.4582365105086
2023-08-17 09:00:52.04,28321.6579230211,28586.9428918973,28868.2095707513,-219.667967901187,-127.731578104944,22.2145444655554
2023-08-17 13:00:15.971,27849.658283835,28377.0973200355,28733.3372618028,-282.550852389697,-158.695432961894,16.4530602991687
2023-08-17 17:00:39.491,26519.4821276177,27969.2763725962,28471.5332565025,-434.709035292453,-213.898153428006,9.20638998196894
2023-08-17 21:00:54.087,26568.6703034047,27553.2149399709,28212.1195822901,-545.043494651578,-280.12722167272,10.7714531671545
2023-08-18 01:00:15.952,26497.2644418531,27151.3466159463,27951.1319752888,-630.972743849852,-350.296326108147,10.4887959628823
2023-08-18 05:00:27.73,26434.4373808056,26773.9025075032,27680.4226997002,-696.117502435205,-419.460561373559,10.234322543221
2023-08-18 09:00:07.142,26145.131634532,26432.9971776426,27405.047248839,-762.302401286743,-488.028929356195,9.13523674949404
2023-08-18 13:00:24.896,26200.1242809802,26369.1256083151,27169.2009904556,-801.0825821371,-550.639659912376,11.0898290482392
2023-08-18 17:00:42.008,26065.7193103467,26268.5354097035,26910.8751748372,-833.05853251613,-607.123434433127,10.4955877361697
2023-08-18 21:01:01.737,26016.6100193494,26172.4045252028,26661.8755705745,-852.534921040613,-656.205731754624,10.2788592849608
2023-08-19 01:01:01.511,25847.2958548076,26054.9762200032,26414.4393637532,-871.585245163806,-699.281634436461,9.54690168350355
2023-08-19 05:00:55.016,25908.6120656169,26007.6723062202,26220.3347419314,-871.686795735211,-733.762666696211,11.9910882649359
2023-08-19 09:00:05.327,25991.1677270762,25965.8809954394,26167.5033018772,-855.246968679188,-758.059527092806,15.3092909693981
2023-08-19 13:00:54.244,26117.0681674454,25976.1507668591,26122.3430882813,-822.57701812232,-770.963025298709,20.2476731418745
2023-08-19 17:00:59.861,26048.8787658369,25982.6045161566,26077.5045206797,-793.046416325767,-775.379703504121,19.581674908562
2023-08-19 21:00:53.715,26085.3009294565,26030.2055310864,26042.5908755448,-757.966867206949,-771.897136244687,21.074972088485
2023-08-20 01:00:56.75,26061.3140364663,26060.7459252563,26034.2091157382,-723.758575261712,-762.269424048092,20.8010236251981
2023-08-20 05:00:51.864,26142.2967424319,26090.9717283274,26028.4263618834,-682.249087076467,-746.265356653767,24.3751456963474
2023-08-20 09:00:47.811,26102.2037652313,26087.9988478846,26032.0748073718,-645.150790103155,-726.042443343644,23.8024393621256
2023-08-20 13:00:01.555,26137.0965692047,26105.6424085581,26044.1234623573,-605.949555518171,-702.02386577855,25.4442318429876
2023-08-20 17:00:54.211,26219.8521568602,26132.5526540389,26081.3790925626,-561.72934415835,-673.96496145451,29.3332371110789
2023-08-20 21:00:45.016,26091.9295537211,26138.6757574898,26099.710841373,-530.887057512507,-645.349380666109,26.9896098864801
2023-08-21 01:00:55.347,26065.3853766608,26123.2934843356,26107.1326063315,-502.790362071009,-616.837576947089,26.5161901848805
2023-08-21 05:00:47.017,25950.4829548286,26092.9493222551,26090.4740850698,-484.213482061336,-590.312757969939,24.5118543642796
2023-08-21 09:01:05.518,26112.9017502136,26088.1103584569,26096.8763835075,-451.184358979612,-562.487078171873,32.3017009661315
2023-08-21 13:00:48.93,26050.4258870407,26054.225104493,26093.3888792659,-425.148968339865,-535.019456205472,30.9774904173735
2023-08-21 17:00:01.975,26139.9018491379,26063.8195635763,26101.2476605331,-392.768184185985,-506.569201801574,35.0821271464962
2023-08-21 21:00:50.524,26043.8708258886,26059.5166534219,26091.4050688787,-370.583227695726,-479.372006980405,32.8258627344475
2023-08-22 01:01:01.141,26043.3077119716,26078.0816048505,26085.5154635528,-349.023601610461,-453.302325906416,32.8125363215731
2023-08-22 05:00:06.223,26031.5690701794,26061.8150688436,26074.9627136502,-329.091095599902,-428.460079845113,32.5161876335061
2023-08-22 09:00:56.218,26002.2834214978,26052.1865757351,26053.205840114,-312.060311063662,-405.180126088823,31.7458660469231
2023-08-22 13:00:57.056,25889.7658915295,26002.1593842134,26032.9894738948,-304.136618321187,-384.971424535296,28.9118734793706
2023-08-22 17:01:04.111,25798.3813808554,25953.0614952067,26006.2890743143,-301.752585048846,-368.327656638006,26.8178901522522
2023-08-22 21:01:01.663,26035.3039059047,25951.4607339934,26014.7711694219,-277.546174246942,-350.171360159793,39.127317992722
2023-08-23 01:00:53.421,26076.3882027455,25960.4245605066,26011.1198146751,-252.140738409184,-330.565235809671,40.9811810257611
2023-08-23 05:00:16.688,25998.0404375574,25959.5759637185,26005.8812697268,-235.612760107884,-311.574740669314,38.5689000126104
2023-08-23 09:00:09.7,26123.9864638743,26006.4200781875,26004.2897312004,-209.931467201444,-291.24608597574,44.2499810931018
2023-08-23 13:00:04.558,26443.729211039,26135.4896442242,26044.2755697154,-161.911870794924,-265.379242939577,55.5010415272944
2023-08-23 17:00:44.03,26442.2648483321,26216.8818327097,26084.1712833515,-122.561345612077,-236.815663474077,55.4458528293692
2023-08-23 21:01:01.958,26378.1406296799,26277.2323180966,26118.8284393016,-95.4497738586033,-208.542485550982,52.9622969484082
2023-08-24 01:00:55.905,26448.036888786,26367.2316083423,26163.4037860304,-67.5449972699753,-180.342987894781,55.3119965844135
2023-08-24 05:00:44.81,26456.2638617257,26433.6870879126,26220.05358305,-44.2562542692176,-153.125641169668,55.5931780925155
2023-08-24 09:01:03.286,26155.5190663435,26376.0450589735,26255.7673515988,-49.4967811308015,-132.399869161895,44.5562712195799
2023-08-24 13:00:50.029,26002.6913846533,26288.1303662377,26252.5060994736,-65.2299231528486,-118.965879960086,40.1898026544229
2023-08-24 17:01:06.205,26099.954007588,26232.4930418193,26254.8626799579,-69.0542562619121,-108.983555220451,43.954181714351
2023-08-24 21:00:10.582,26130.6672468336,26169.0191134288,26268.1253608855,-68.8135265783385,-100.949549492028,45.1286150350585
